dataset,prsn,sfcWind,tos,ph,siconc
CMIP6_CSIRO_ACCESS-ESM1-5_ssp126_r1i1p1f1_Amon_gn,v20191115,v20191115,NA,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20191115,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO_ACCESS-ESM1-5_ssp245_r1i1p1f1_Amon_gn,v20191115,v20191115,NA,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20191115,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO_ACCESS-ESM1-5_ssp370_r1i1p1f1_Amon_gn,v20191115,v20191115,NA,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20191115,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO_ACCESS-ESM1-5_ssp585_r1i1p1f1_Amon_gn,v20191115,v20191115,NA,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20191115,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp126_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20190710,v20190710,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190710
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp245_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20190710,v20190710,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190710
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp370_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20190710,v20190710,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190710
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp585_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20190710,v20190710,NA
CMIP6_DKRZ_MPI-ESM1-2-HR_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190710
CMIP6_EC-Earth-Consortium_EC-Earth3-AerChem_historical_r1i1p1f1_Amon_gr,v20200624,v20200624,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-AerChem_ssp370_r1i1p1f1_Amon_gr,v20200827,v20200827,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_historical_r1i1p1f1_Amon_gr,v20200217,v20200217,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_historical_r1i1p1f1_Omon_gn,NA,NA,v20200919,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200919
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_ssp245_r1i1p1f1_Amon_gr,v20201123,v20201123,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20201123,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20201123
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_ssp370_r1i1p1f1_Amon_gr,v20201123,v20201123,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20201123,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg-LR_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20201123
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_historical_r1i1p1f1_Amon_gr,v20200225,v20200225,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_historical_r1i1p1f1_Omon_gn,NA,NA,v20200919,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200919
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp126_r1i1p1f1_Amon_gr,v20200225,v20200225,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20200919,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200919
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp245_r1i1p1f1_Amon_gr,v20200225,v20200225,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20200919,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200919
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp370_r1i1p1f1_Amon_gr,v20200225,v20200225,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20200919,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200919
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp585_r1i1p1f1_Amon_gr,v20200225,v20200225,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20200919,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3-Veg_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200919
CMIP6_EC-Earth-Consortium_EC-Earth3_historical_r1i1p1f1_Amon_gr,v20200310,v20200310,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_historical_r1i1p1f1_Omon_gn,NA,NA,v20200918,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200918
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp126_r1i1p1f1_Amon_gr,v20200310,v20200310,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20200918,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200918
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp245_r1i1p1f1_Amon_gr,v20200310,v20200310,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20200918,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200918
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp370_r1i1p1f1_Amon_gr,v20200310,v20200310,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20200918,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200918
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp585_r1i1p1f1_Amon_gr,v20200310,v20200310,NA,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20200918,NA,NA
CMIP6_EC-Earth-Consortium_EC-Earth3_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200918
CMIP6_HAMMOZ-Consortium_MPI-ESM-1-2-HAM_historical_r1i1p1f1_Amon_gn,v20190627,v20190627,NA,NA,NA
CMIP6_HAMMOZ-Consortium_MPI-ESM-1-2-HAM_ssp370_r1i1p1f1_Amon_gn,v20190628,v20190628,NA,NA,NA
CMIP6_INM_INM-CM4-8_historical_r1i1p1f1_Amon_gr1,v20190530,v20190530,NA,NA,NA
CMIP6_INM_INM-CM4-8_historical_r1i1p1f1_Omon_gr1,NA,NA,v20190530,NA,NA
CMIP6_INM_INM-CM4-8_historical_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190530
CMIP6_INM_INM-CM4-8_ssp126_r1i1p1f1_Amon_gr1,v20190603,v20190603,NA,NA,NA
CMIP6_INM_INM-CM4-8_ssp126_r1i1p1f1_Omon_gr1,NA,NA,v20190603,NA,NA
CMIP6_INM_INM-CM4-8_ssp126_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190603
CMIP6_INM_INM-CM4-8_ssp245_r1i1p1f1_Amon_gr1,v20190603,v20190603,NA,NA,NA
CMIP6_INM_INM-CM4-8_ssp245_r1i1p1f1_Omon_gr1,NA,NA,v20190603,NA,NA
CMIP6_INM_INM-CM4-8_ssp245_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190603
CMIP6_INM_INM-CM4-8_ssp370_r1i1p1f1_Amon_gr1,v20190603,v20190603,NA,NA,NA
CMIP6_INM_INM-CM4-8_ssp370_r1i1p1f1_Omon_gr1,NA,NA,v20190603,NA,NA
CMIP6_INM_INM-CM4-8_ssp370_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190603
CMIP6_INM_INM-CM4-8_ssp585_r1i1p1f1_Amon_gr1,v20190603,v20190603,NA,NA,NA
CMIP6_INM_INM-CM4-8_ssp585_r1i1p1f1_Omon_gr1,NA,NA,v20190603,NA,NA
CMIP6_INM_INM-CM4-8_ssp585_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190603
CMIP6_INM_INM-CM5-0_historical_r1i1p1f1_Amon_gr1,v20190610,v20190610,NA,NA,NA
CMIP6_INM_INM-CM5-0_historical_r1i1p1f1_Omon_gr1,NA,NA,v20190610,NA,NA
CMIP6_INM_INM-CM5-0_historical_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190610
CMIP6_INM_INM-CM5-0_ssp126_r1i1p1f1_Amon_gr1,v20190619,v20190619,NA,NA,NA
CMIP6_INM_INM-CM5-0_ssp126_r1i1p1f1_Omon_gr1,NA,NA,v20190619,NA,NA
CMIP6_INM_INM-CM5-0_ssp126_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190619
CMIP6_INM_INM-CM5-0_ssp245_r1i1p1f1_Amon_gr1,v20190619,v20190619,NA,NA,NA
CMIP6_INM_INM-CM5-0_ssp245_r1i1p1f1_Omon_gr1,NA,NA,v20190619,NA,NA
CMIP6_INM_INM-CM5-0_ssp245_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190619
CMIP6_INM_INM-CM5-0_ssp370_r1i1p1f1_Amon_gr1,v20190618,v20190618,NA,NA,NA
CMIP6_INM_INM-CM5-0_ssp370_r1i1p1f1_Omon_gr1,NA,NA,v20190618,NA,NA
CMIP6_INM_INM-CM5-0_ssp370_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190618
CMIP6_INM_INM-CM5-0_ssp585_r1i1p1f1_Amon_gr1,v20190724,v20190724,NA,NA,NA
CMIP6_INM_INM-CM5-0_ssp585_r1i1p1f1_Omon_gr1,NA,NA,v20190724,NA,NA
CMIP6_INM_INM-CM5-0_ssp585_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20190724
CMIP6_IPSL_IPSL-CM6A-LR_historical_r1i1p1f1_Amon_gr,v20180803,v20180803,NA,NA,NA
CMIP6_IPSL_IPSL-CM6A-LR_historical_r1i1p1f1_Omon_gn,NA,NA,v20180803,v20180803,NA
CMIP6_IPSL_IPSL-CM6A-LR_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20180803
CMIP6_IPSL_IPSL-CM6A-LR_ssp126_r1i1p1f1_Amon_gr,v20190903,v20190903,NA,NA,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20190903,v20190903,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190903
CMIP6_IPSL_IPSL-CM6A-LR_ssp245_r1i1p1f1_Amon_gr,v20190119,v20190119,NA,NA,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20190119,v20190119,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190119
CMIP6_IPSL_IPSL-CM6A-LR_ssp370_r1i1p1f1_Amon_gr,v20190119,v20190119,NA,NA,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20190119,v20190119,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190119
CMIP6_IPSL_IPSL-CM6A-LR_ssp460_r1i1p1f1_Amon_gr,v20190506,v20190506,NA,NA,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp585_r1i1p1f1_Amon_gr,v20190903,v20190903,NA,NA,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20190903,v20190903,NA
CMIP6_IPSL_IPSL-CM6A-LR_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190903
CMIP6_KIOST_KIOST-ESM_historical_r1i1p1f1_Amon_gr1,NA,v20191106,NA,NA,NA
CMIP6_KIOST_KIOST-ESM_historical_r1i1p1f1_Omon_gr1,NA,NA,v20200924,NA,NA
CMIP6_KIOST_KIOST-ESM_historical_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20201211
CMIP6_KIOST_KIOST-ESM_ssp126_r1i1p1f1_Amon_gr1,NA,v20191106,NA,NA,NA
CMIP6_KIOST_KIOST-ESM_ssp126_r1i1p1f1_Omon_gr1,NA,NA,v20200924,NA,NA
CMIP6_KIOST_KIOST-ESM_ssp126_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20201211
CMIP6_KIOST_KIOST-ESM_ssp245_r1i1p1f1_Amon_gr1,NA,v20191106,NA,NA,NA
CMIP6_KIOST_KIOST-ESM_ssp245_r1i1p1f1_Omon_gr1,NA,NA,v20200924,NA,NA
CMIP6_KIOST_KIOST-ESM_ssp245_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20201211
CMIP6_KIOST_KIOST-ESM_ssp585_r1i1p1f1_Amon_gr1,NA,v20191106,NA,NA,NA
CMIP6_KIOST_KIOST-ESM_ssp585_r1i1p1f1_Omon_gr1,NA,NA,v20200924,NA,NA
CMIP6_KIOST_KIOST-ESM_ssp585_r1i1p1f1_SImon_gr1,NA,NA,NA,NA,v20201211
CMIP6_MIROC_MIROC-ES2L_historical_r1i1p1f2_Amon_gn,v20190823,v20190823,NA,NA,NA
CMIP6_MIROC_MIROC-ES2L_historical_r1i1p1f2_Omon_gr1,NA,NA,v20200731,v20200731,NA
CMIP6_MIROC_MIROC-ES2L_historical_r1i1p1f2_SImon_gr1,NA,NA,NA,NA,v20200731
CMIP6_MIROC_MIROC-ES2L_ssp126_r1i1p1f2_Amon_gn,v20190823,v20190823,NA,NA,NA
CMIP6_MIROC_MIROC-ES2L_ssp126_r1i1p1f2_Omon_gr1,NA,NA,v20200731,v20200731,NA
CMIP6_MIROC_MIROC-ES2L_ssp126_r1i1p1f2_SImon_gr1,NA,NA,NA,NA,v20200731
CMIP6_MIROC_MIROC-ES2L_ssp245_r1i1p1f2_Amon_gn,v20190823,v20190823,NA,NA,NA
CMIP6_MIROC_MIROC-ES2L_ssp245_r1i1p1f2_Omon_gr1,NA,NA,v20200731,v20200731,NA
CMIP6_MIROC_MIROC-ES2L_ssp245_r1i1p1f2_SImon_gr1,NA,NA,NA,NA,v20200731
CMIP6_MIROC_MIROC-ES2L_ssp370_r1i1p1f2_Amon_gn,v20190823,v20190823,NA,NA,NA
CMIP6_MIROC_MIROC-ES2L_ssp370_r1i1p1f2_Omon_gr1,NA,NA,v20200731,v20200731,NA
CMIP6_MIROC_MIROC-ES2L_ssp370_r1i1p1f2_SImon_gr1,NA,NA,NA,NA,v20200731
CMIP6_MIROC_MIROC-ES2L_ssp585_r1i1p1f2_Amon_gn,v20190823,v20190823,NA,NA,NA
CMIP6_MIROC_MIROC-ES2L_ssp585_r1i1p1f2_Omon_gr1,NA,NA,v20200731,v20200731,NA
CMIP6_MIROC_MIROC-ES2L_ssp585_r1i1p1f2_SImon_gr1,NA,NA,NA,NA,v20200731
CMIP6_MIROC_MIROC6_historical_r1i1p1f1_Amon_gn,v20190311,v20181212,NA,NA,NA
CMIP6_MIROC_MIROC6_historical_r1i1p1f1_Omon_gn,NA,NA,v20181212,NA,NA
CMIP6_MIROC_MIROC6_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20181212
CMIP6_MIROC_MIROC6_ssp126_r1i1p1f1_Amon_gn,v20190627,v20190627,NA,NA,NA
CMIP6_MIROC_MIROC6_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20190627,NA,NA
CMIP6_MIROC_MIROC6_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190627
CMIP6_MIROC_MIROC6_ssp245_r1i1p1f1_Amon_gn,v20190627,v20190627,NA,NA,NA
CMIP6_MIROC_MIROC6_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20190627,NA,NA
CMIP6_MIROC_MIROC6_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190627
CMIP6_MIROC_MIROC6_ssp370_r1i1p1f1_Amon_gn,v20190627,v20190627,NA,NA,NA
CMIP6_MIROC_MIROC6_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20190627,NA,NA
CMIP6_MIROC_MIROC6_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190627
CMIP6_MIROC_MIROC6_ssp460_r1i1p1f1_Amon_gn,v20190807,v20190807,NA,NA,NA
CMIP6_MIROC_MIROC6_ssp585_r1i1p1f1_Amon_gn,v20190627,v20190627,NA,NA,NA
CMIP6_MIROC_MIROC6_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20190627,NA,NA
CMIP6_MIROC_MIROC6_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190627
CMIP6_MOHC_HadGEM3-GC31-LL_historical_r1i1p1f3_Amon_gn,v20190624,v20190624,NA,NA,NA
